week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,24,24,212,212,82,82,193,193,33,33,10266,5817,111,111,52,52,0,0
2020-05-31T00:00:00.000,10,34,50,262,11,93,30,223,5,38,10588,5842,19,130,11,63,1,1
2020-06-07T00:00:00.000,13,47,99,361,17,110,29,252,6,44,10742,6004,69,199,7,70,0,1
2020-06-14T00:00:00.000,8,55,49,410,7,117,37,289,1,45,10979,6153,20,219,2,72,0,1
2020-06-21T00:00:00.000,16,71,28,438,12,129,23,312,2,47,11054,6143,37,256,10,82,0,1
2020-06-28T00:00:00.000,16,87,32,470,3,132,33,345,9,56,11154,6136,36,292,3,85,0,1
2020-07-05T00:00:00.000,19,106,124,594,44,176,32,377,6,62,11154,6078,67,359,22,107,0,1
2020-07-12T00:00:00.000,27,133,93,687,50,226,35,412,11,73,11154,6082,66,425,16,123,1,2
2020-07-19T00:00:00.000,40,173,130,817,28,254,46,458,22,95,11154,6804,103,528,15,138,0,2
2020-07-26T00:00:00.000,72,245,120,937,13,267,49,507,24,119,11154,6159,107,635,23,161,1,3
2020-08-02T00:00:00.000,76,321,115,1052,14,281,47,554,20,139,11154,6056,57,692,13,174,1,4
2020-08-09T00:00:00.000,56,377,62,1114,13,294,41,595,15,154,11148,6063,41,733,14,188,0,4
2020-08-16T00:00:00.000,66,443,84,1198,12,306,45,640,12,166,11141,6074,37,770,6,194,0,4
2020-08-23T00:00:00.000,35,478,41,1239,22,328,38,678,11,177,11141,6030,27,797,5,199,0,4
2020-08-30T00:00:00.000,33,511,48,1287,23,351,41,719,17,194,11141,5932,23,820,8,207,0,4
2020-09-06T00:00:00.000,19,530,40,1327,10,361,34,753,7,201,11141,5939,15,835,7,214,0,4
2020-09-13T00:00:00.000,41,571,33,1360,4,365,27,780,8,209,11141,6027,48,883,15,229,0,4
2020-09-20T00:00:00.000,19,590,28,1388,4,369,31,811,7,216,11141,6022,26,909,8,237,0,4
2020-09-27T00:00:00.000,24,614,47,1435,9,378,25,836,5,221,11141,5928,31,940,4,241,0,4
2020-10-04T00:00:00.000,21,635,15,1450,2,380,20,856,1,222,11141,6014,26,966,2,243,0,4
2020-10-11T00:00:00.000,28,663,52,1502,7,387,23,879,5,227,11038,5944,30,996,9,252,0,4
2020-10-18T00:00:00.000,21,684,33,1535,10,397,21,900,3,230,11038,5992,30,1026,10,262,0,4
2020-10-25T00:00:00.000,28,712,80,1615,3,400,22,922,3,233,11038,6030,57,1083,6,268,0,4
2020-11-01T00:00:00.000,47,759,120,1735,3,403,32,954,8,241,10888,5987,68,1151,5,273,0,4
2020-11-08T00:00:00.000,40,799,156,1891,2,405,34,988,12,253,10888,5917,113,1264,17,290,1,5
2020-11-15T00:00:00.000,74,873,126,2017,4,409,35,1023,17,270,10754,5859,101,1365,26,316,0,5
2020-11-22T00:00:00.000,63,936,94,2111,6,415,39,1062,19,289,10754,5835,74,1439,5,321,1,6
2020-11-29T00:00:00.000,80,1016,122,2233,NaN,415,62,1124,28,317,10901,7467,98,1537,0,321,1,7
2020-12-06T00:00:00.000,72,1088,155,2388,NaN,415,51,1175,32,349,10901,5827,98,1635,0,321,0,7
2020-12-13T00:00:00.000,125,1213,198,2586,NaN,415,58,1233,31,380,10901,5831,104,1739,0,321,2,9
2020-12-20T00:00:00.000,162,1375,291,2877,NaN,415,64,1297,32,412,11035,5922,155,1894,0,321,0,9
2020-12-27T00:00:00.000,132,1507,188,3065,NaN,415,54,1351,40,452,11035,5874,117,2011,0,321,0,9
2021-01-03T00:00:00.000,134,1641,137,3202,NaN,415,75,1426,50,502,11139,5828,130,2141,0,321,2,11
2021-01-10T00:00:00.000,156,1797,185,3387,NaN,415,66,1492,47,549,11139,5866,143,2284,0,321,0,11
2021-01-17T00:00:00.000,215,2012,150,3537,NaN,415,75,1567,43,592,11139,5905,90,2374,0,321,1,12
2021-01-24T00:00:00.000,174,2186,115,3652,NaN,415,116,1683,48,640,11139,5917,72,2446,0,321,2,14
2021-01-31T00:00:00.000,107,2293,71,3723,NaN,415,60,1743,33,673,11139,5886,40,2486,0,321,0,14
2021-02-07T00:00:00.000,98,2391,16,3739,NaN,415,54,1797,31,704,11139,5814,25,2511,0,321,1,15
2021-02-14T00:00:00.000,51,2442,9,3748,NaN,415,27,1824,13,717,10955,5728,8,2519,0,321,0,15
2021-02-21T00:00:00.000,33,2475,2,3750,NaN,415,27,1851,4,721,10433,5340,6,2525,0,321,1,16
2021-02-28T00:00:00.000,25,2500,5,3755,NaN,415,31,1882,7,728,10433,5426,2,2527,0,321,0,16
2021-03-07T00:00:00.000,19,2519,1,3756,NaN,415,39,1921,22,750,10613,5521,1,2528,0,321,0,16
