week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,194,194,479,479,174,174,184,184,114,114,6933,5576,332,332,128,128,1,1
2020-05-31T00:00:00.000,85,279,122,601,70,244,67,251,38,152,7829,6075,102,434,25,153,0,1
2020-06-07T00:00:00.000,76,355,118,719,33,277,70,321,35,187,8161,6332,126,560,12,165,0,1
2020-06-14T00:00:00.000,94,449,33,752,34,311,73,394,41,228,8161,6303,89,649,8,173,0,1
2020-06-21T00:00:00.000,104,553,76,828,43,354,59,453,19,247,8161,6303,84,733,17,190,0,1
2020-06-28T00:00:00.000,113,666,92,920,41,395,42,495,15,262,8161,6380,102,835,30,220,0,1
2020-07-05T00:00:00.000,78,744,91,1011,22,417,53,548,18,280,8161,6377,89,924,41,261,0,1
2020-07-12T00:00:00.000,83,827,76,1087,28,445,35,583,11,291,8210,6393,184,1108,56,317,1,2
2020-07-19T00:00:00.000,87,914,96,1183,81,526,27,610,6,297,8210,6400,194,1302,32,349,0,2
2020-07-26T00:00:00.000,84,998,78,1261,55,581,39,649,9,306,8210,6429,183,1485,40,389,0,2
2020-08-02T00:00:00.000,101,1099,116,1377,67,648,35,684,11,317,8226,6506,156,1641,46,435,0,2
2020-08-09T00:00:00.000,106,1205,102,1479,54,702,51,735,18,335,8226,6469,164,1805,23,458,1,3
2020-08-16T00:00:00.000,118,1323,93,1572,30,732,47,782,18,353,8226,6467,123,1928,15,473,1,4
2020-08-23T00:00:00.000,87,1410,56,1628,27,759,31,813,16,369,8226,6474,90,2018,15,488,0,4
2020-08-30T00:00:00.000,85,1495,21,1649,39,798,45,858,18,387,8226,6482,43,2061,9,497,0,4
2020-09-06T00:00:00.000,75,1570,28,1677,23,821,31,889,7,394,8163,6459,48,2109,6,503,0,4
2020-09-13T00:00:00.000,43,1613,24,1701,21,842,36,925,9,403,8163,6481,55,2164,2,505,0,4
2020-09-20T00:00:00.000,40,1653,17,1718,20,862,30,955,1,404,8163,6515,26,2190,4,509,0,4
2020-09-27T00:00:00.000,27,1680,9,1727,25,887,35,990,2,406,8163,6525,29,2219,4,513,0,4
2020-10-04T00:00:00.000,23,1703,13,1740,16,903,22,1012,1,407,8163,6513,27,2246,0,513,0,4
2020-10-11T00:00:00.000,26,1729,7,1747,25,928,29,1041,0,407,8163,6555,12,2258,10,523,0,4
2020-10-18T00:00:00.000,29,1758,12,1759,26,954,21,1062,2,409,8163,6570,18,2276,7,530,0,4
2020-10-25T00:00:00.000,44,1802,18,1777,21,975,23,1085,1,410,8163,6585,17,2293,12,542,0,4
2020-11-01T00:00:00.000,22,1824,6,1783,18,993,20,1105,1,411,8163,6646,14,2307,10,552,0,4
2020-11-08T00:00:00.000,20,1844,17,1800,8,1001,32,1137,1,412,8163,6625,27,2334,9,561,0,4
2020-11-15T00:00:00.000,27,1871,8,1808,14,1015,21,1158,1,413,8163,6657,42,2376,11,572,0,4
2020-11-22T00:00:00.000,18,1889,27,1835,15,1030,14,1172,1,414,8163,6633,34,2410,6,578,0,4
2020-11-29T00:00:00.000,16,1905,21,1856,NaN,1030,30,1202,1,415,8163,6613,43,2453,0,578,0,4
2020-12-06T00:00:00.000,45,1950,21,1877,NaN,1030,33,1235,1,416,8163,6588,46,2499,0,578,0,4
2020-12-13T00:00:00.000,50,2000,40,1917,NaN,1030,22,1257,2,418,8163,6628,49,2548,0,578,0,4
2020-12-20T00:00:00.000,71,2071,77,1994,NaN,1030,15,1272,1,419,8163,6673,78,2626,0,578,0,4
2020-12-27T00:00:00.000,88,2159,53,2047,NaN,1030,19,1291,2,421,8163,6593,51,2677,0,578,0,4
2021-01-03T00:00:00.000,86,2245,43,2090,NaN,1030,21,1312,5,426,8163,6669,91,2768,0,578,0,4
2021-01-10T00:00:00.000,81,2326,43,2133,NaN,1030,31,1343,3,429,8163,6644,67,2835,0,578,0,4
2021-01-17T00:00:00.000,84,2410,29,2162,NaN,1030,25,1368,2,431,8163,6650,70,2905,0,578,0,4
2021-01-24T00:00:00.000,96,2506,41,2203,NaN,1030,22,1390,4,435,8163,6678,56,2961,0,578,0,4
2021-01-31T00:00:00.000,55,2561,23,2226,NaN,1030,23,1413,4,439,8163,6638,50,3011,0,578,0,4
2021-02-07T00:00:00.000,58,2619,19,2245,NaN,1030,33,1446,6,445,8163,7343,36,3047,0,578,0,4
2021-02-14T00:00:00.000,60,2679,11,2256,NaN,1030,26,1472,3,448,8163,6643,30,3077,0,578,0,4
2021-02-21T00:00:00.000,44,2723,10,2266,NaN,1030,18,1490,0,448,8163,6637,22,3099,0,578,0,4
2021-02-28T00:00:00.000,54,2777,2,2268,NaN,1030,20,1510,2,450,8124,6591,28,3127,0,578,0,4
2021-03-07T00:00:00.000,27,2804,10,2278,NaN,1030,13,1523,0,450,8085,6662,22,3149,0,578,0,4
2021-03-14T00:00:00.000,40,2844,5,2283,NaN,1030,23,1546,2,452,8085,6627,16,3165,0,578,0,4
2021-03-21T00:00:00.000,26,2870,3,2286,NaN,1030,17,1563,0,452,8085,6455,11,3176,0,578,1,5
