week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,248,248,413,413,335,335,152,152,65,65,4888,4085,185,185,96,96,2,2
2020-05-31T00:00:00.000,17,265,33,446,31,366,52,204,8,73,4891,4054,31,216,25,121,1,3
2020-06-07T00:00:00.000,18,283,95,541,45,411,34,238,11,84,4945,4058,76,292,11,132,0,3
2020-06-14T00:00:00.000,26,309,60,601,98,509,26,264,7,91,4909,4071,42,334,13,145,0,3
2020-06-21T00:00:00.000,21,330,55,656,42,551,24,288,0,91,4909,4078,23,357,11,156,0,3
2020-06-28T00:00:00.000,44,374,30,686,66,617,23,311,7,98,4909,4063,46,403,29,185,0,3
2020-07-05T00:00:00.000,46,420,108,794,90,707,20,331,9,107,4909,4043,46,449,32,217,1,4
2020-07-12T00:00:00.000,62,482,71,865,286,993,39,370,23,130,4909,4066,73,522,104,321,0,4
2020-07-19T00:00:00.000,66,548,153,1018,222,1215,51,421,22,152,4909,3995,151,673,142,463,0,4
2020-07-26T00:00:00.000,66,614,233,1251,214,1429,52,473,27,179,4909,3911,120,793,150,613,1,5
2020-08-02T00:00:00.000,75,689,131,1382,59,1488,42,515,15,194,4909,3865,78,871,59,672,0,5
2020-08-09T00:00:00.000,87,776,66,1448,83,1571,40,555,17,211,4909,3808,64,935,27,699,2,7
2020-08-16T00:00:00.000,72,848,167,1615,65,1636,22,577,8,219,4909,3778,68,1003,20,719,0,7
2020-08-23T00:00:00.000,54,902,49,1664,99,1735,22,599,8,227,4909,3775,56,1059,11,730,0,7
2020-08-30T00:00:00.000,45,947,20,1684,20,1755,20,619,6,233,4909,3773,23,1082,5,735,0,7
2020-09-06T00:00:00.000,51,998,41,1725,18,1773,11,630,5,238,4909,3803,13,1095,14,749,1,8
2020-09-13T00:00:00.000,40,1038,19,1744,22,1795,21,651,4,242,4909,3824,19,1114,12,761,0,8
2020-09-20T00:00:00.000,10,1048,10,1754,19,1814,12,663,2,244,4909,3850,2,1116,7,768,0,8
2020-09-27T00:00:00.000,12,1060,8,1762,29,1843,11,674,0,244,4909,3869,9,1125,14,782,0,8
2020-10-04T00:00:00.000,17,1077,3,1765,26,1869,19,693,1,245,4909,3896,7,1132,11,793,0,8
2020-10-11T00:00:00.000,20,1097,9,1774,44,1913,15,708,2,247,4909,3886,17,1149,18,811,0,8
2020-10-18T00:00:00.000,10,1107,22,1796,151,2064,16,724,5,252,4909,3861,27,1176,9,820,0,8
2020-10-25T00:00:00.000,21,1128,48,1844,49,2113,15,739,0,252,4909,3895,34,1210,5,825,0,8
2020-11-01T00:00:00.000,24,1152,43,1887,29,2142,19,758,4,256,4909,3923,61,1271,7,832,0,8
2020-11-08T00:00:00.000,23,1175,62,1949,34,2176,15,773,6,262,4909,3919,34,1305,0,832,0,8
2020-11-15T00:00:00.000,36,1211,42,1991,44,2220,12,785,3,265,4909,3901,50,1355,7,839,0,8
2020-11-22T00:00:00.000,50,1261,63,2054,35,2255,16,801,8,273,4909,3898,77,1432,28,867,0,8
2020-11-29T00:00:00.000,58,1319,91,2145,NaN,2255,8,809,2,275,4909,3894,74,1506,0,867,0,8
2020-12-06T00:00:00.000,78,1397,116,2261,NaN,2255,21,830,7,282,4909,3870,142,1648,0,867,3,11
2020-12-13T00:00:00.000,112,1509,149,2410,NaN,2255,15,845,7,289,4909,3915,213,1861,0,867,0,11
2020-12-20T00:00:00.000,116,1625,257,2667,NaN,2255,24,869,13,302,4909,3902,189,2050,0,867,0,11
2020-12-27T00:00:00.000,125,1750,164,2831,NaN,2255,40,909,19,321,4910,3838,122,2172,0,867,1,12
2021-01-03T00:00:00.000,98,1848,177,3008,NaN,2255,31,940,15,336,4910,3819,153,2325,0,867,1,13
2021-01-10T00:00:00.000,121,1969,108,3116,NaN,2255,34,974,18,354,4910,3811,110,2435,0,867,0,13
2021-01-17T00:00:00.000,122,2091,119,3235,NaN,2255,44,1018,12,366,4910,3828,100,2535,0,867,0,13
2021-01-24T00:00:00.000,132,2223,47,3282,NaN,2255,27,1045,10,376,4910,3838,37,2572,0,867,0,13
2021-01-31T00:00:00.000,110,2333,26,3308,NaN,2255,15,1060,6,382,4910,3901,27,2599,0,867,1,14
2021-02-07T00:00:00.000,88,2421,25,3333,NaN,2255,19,1079,4,386,4910,3924,13,2612,0,867,0,14
2021-02-14T00:00:00.000,77,2498,18,3351,NaN,2255,15,1094,2,388,4910,3959,12,2624,0,867,1,15
2021-02-21T00:00:00.000,49,2547,7,3358,NaN,2255,9,1103,2,390,4910,3930,3,2627,0,867,0,15
2021-02-28T00:00:00.000,43,2590,0,3358,NaN,2255,14,1117,0,390,4910,3867,4,2631,0,867,0,15
2021-03-07T00:00:00.000,35,2625,0,3358,NaN,2255,7,1124,0,390,4910,3913,2,2633,0,867,0,15
2021-03-14T00:00:00.000,33,2658,0,3358,NaN,2255,16,1140,1,391,4910,3910,3,2636,0,867,0,15
2021-03-21T00:00:00.000,7,2665,0,3358,NaN,2255,6,1146,0,391,4910,3927,1,2637,0,867,0,15
