week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,22,22,61,61,330,330,84,84,18,18,2399,1965,64,64,539,539,0,0
2020-05-31T00:00:00.000,0,22,0,61,25,355,3,87,0,18,2399,1955,1,65,0,539,0,0
2020-06-07T00:00:00.000,3,25,4,65,62,417,8,95,0,18,2409,1941,7,72,27,566,0,0
2020-06-14T00:00:00.000,5,30,3,68,46,463,6,101,0,18,2409,1941,6,78,9,575,0,0
2020-06-21T00:00:00.000,3,33,40,108,45,508,17,118,11,29,2409,1933,39,117,10,585,0,0
2020-06-28T00:00:00.000,4,37,4,112,39,547,6,124,0,29,2409,1945,6,123,27,612,0,0
2020-07-05T00:00:00.000,2,39,2,114,26,573,3,127,0,29,2409,1932,8,131,9,621,0,0
2020-07-12T00:00:00.000,1,40,3,117,20,593,5,132,0,29,2409,1929,8,139,19,640,0,0
2020-07-19T00:00:00.000,0,40,1,118,56,649,2,134,0,29,2409,1935,4,143,19,659,0,0
2020-07-26T00:00:00.000,0,40,1,119,59,708,7,141,0,29,2409,1954,4,147,18,677,0,0
2020-08-02T00:00:00.000,3,43,1,120,45,753,2,143,0,29,2409,1968,11,158,26,703,0,0
2020-08-09T00:00:00.000,3,46,0,120,21,774,9,152,0,29,2409,1968,4,162,12,715,0,0
2020-08-16T00:00:00.000,4,50,1,121,13,787,6,158,0,29,2409,1974,4,166,15,730,0,0
2020-08-23T00:00:00.000,4,54,1,122,17,804,7,165,0,29,2409,1957,4,170,12,742,0,0
2020-08-30T00:00:00.000,3,57,7,129,14,818,1,166,0,29,2409,1953,3,173,6,748,0,0
2020-09-06T00:00:00.000,1,58,4,133,42,860,9,175,0,29,2409,1958,7,180,11,759,0,0
2020-09-13T00:00:00.000,1,59,25,158,28,888,6,181,0,29,2409,1951,6,186,12,771,0,0
2020-09-20T00:00:00.000,7,66,22,180,38,926,9,190,3,32,2409,1945,15,201,20,791,0,0
2020-09-27T00:00:00.000,10,76,12,192,20,946,5,195,1,33,2409,1939,5,206,10,801,0,0
2020-10-04T00:00:00.000,3,79,2,194,41,987,8,203,4,37,2409,1936,5,211,17,818,0,0
2020-10-11T00:00:00.000,4,83,0,194,37,1024,12,215,5,42,2409,1922,3,214,10,828,0,0
2020-10-18T00:00:00.000,2,85,1,195,25,1049,5,220,0,42,2409,1913,1,215,16,844,0,0
2020-10-25T00:00:00.000,1,86,0,195,16,1065,8,228,0,42,2409,1922,1,216,13,857,0,0
2020-11-01T00:00:00.000,1,87,3,198,15,1080,5,233,0,42,2409,1912,2,218,14,871,0,0
2020-11-08T00:00:00.000,2,89,1,199,18,1098,1,234,0,42,2409,1903,0,218,9,880,0,0
2020-11-15T00:00:00.000,1,90,1,200,19,1117,4,238,0,42,2409,1931,7,225,6,886,0,0
2020-11-22T00:00:00.000,0,90,0,200,6,1123,2,240,0,42,2409,1939,19,244,19,905,0,0
2020-11-29T00:00:00.000,0,90,3,203,NaN,1123,13,253,0,42,2409,1923,7,251,0,905,0,0
2020-12-06T00:00:00.000,0,90,9,212,NaN,1123,7,260,0,42,2409,1924,18,269,0,905,0,0
2020-12-13T00:00:00.000,0,90,43,255,NaN,1123,3,263,2,44,2409,1927,49,318,0,905,0,0
2020-12-20T00:00:00.000,0,90,29,284,NaN,1123,7,270,4,48,2409,1914,58,376,0,905,0,0
2020-12-27T00:00:00.000,4,94,30,314,NaN,1123,12,282,6,54,2409,1835,19,395,0,905,0,0
2021-01-03T00:00:00.000,5,99,45,359,NaN,1123,12,294,9,63,2409,1780,40,435,0,905,0,0
2021-01-10T00:00:00.000,7,106,108,467,NaN,1123,32,326,29,92,2409,1777,66,501,0,905,0,0
2021-01-17T00:00:00.000,20,126,39,506,NaN,1123,18,344,16,108,2409,1758,21,522,0,905,0,0
2021-01-24T00:00:00.000,24,150,49,555,NaN,1123,9,353,0,108,2409,1737,19,541,0,905,0,0
2021-01-31T00:00:00.000,13,163,1,556,NaN,1123,10,363,0,108,2409,1735,11,552,0,905,0,0
2021-02-07T00:00:00.000,8,171,4,560,NaN,1123,1,364,0,108,2409,1753,8,560,0,905,0,0
2021-02-14T00:00:00.000,2,173,1,561,NaN,1123,3,367,0,108,2375,1792,3,563,0,905,0,0
2021-02-21T00:00:00.000,2,175,1,562,NaN,1123,1,368,0,108,2375,1818,3,566,0,905,0,0
2021-02-28T00:00:00.000,3,178,0,562,NaN,1123,5,373,0,108,2375,1847,1,567,0,905,0,0
2021-03-07T00:00:00.000,0,178,0,562,NaN,1123,2,375,0,108,2375,1871,0,567,0,905,0,0
