week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,354,354,1965,1965,1285,1285,2406,2406,312,312,123733,77605,1145,1145,1329,1329,2,2
2020-05-31T00:00:00.000,100,454,320,2285,156,1441,356,2762,63,375,126465,78431,209,1354,140,1469,1,3
2020-06-07T00:00:00.000,155,609,473,2758,222,1663,330,3092,79,454,131582,80773,450,1804,170,1639,2,5
2020-06-14T00:00:00.000,189,798,327,3085,95,1758,380,3472,48,502,132772,81290,367,2171,158,1797,0,5
2020-06-21T00:00:00.000,172,970,596,3681,159,1917,444,3916,92,594,133132,81498,576,2747,267,2064,3,8
2020-06-28T00:00:00.000,155,1125,521,4202,250,2167,439,4355,78,672,133349,81602,681,3428,490,2554,1,9
2020-07-05T00:00:00.000,253,1378,1029,5231,642,2809,434,4787,110,782,133649,81463,1131,4559,600,3154,1,10
2020-07-12T00:00:00.000,348,1726,1884,7115,900,3709,551,5338,175,957,133788,80810,1593,6152,757,3911,2,12
2020-07-19T00:00:00.000,519,2245,2031,9143,1178,4887,705,6042,316,1273,133575,80968,1822,7956,720,4630,3,15
2020-07-26T00:00:00.000,604,2849,2207,11350,806,5693,838,6880,410,1683,133679,79647,1744,9700,504,5134,6,21
2020-08-02T00:00:00.000,744,3593,2069,13419,350,6043,757,7637,407,2090,133741,79039,1358,11058,359,5493,9,30
2020-08-09T00:00:00.000,629,4221,1874,15293,302,6342,741,8373,401,2491,133274,78160,1031,12089,316,5808,5,35
2020-08-16T00:00:00.000,591,4812,1280,16573,478,6820,688,9061,330,2821,133062,77664,742,12831,418,6226,8,43
2020-08-23T00:00:00.000,459,5271,1034,17607,347,7167,592,9653,230,3051,133056,77319,674,13505,229,6455,6,49
2020-08-30T00:00:00.000,492,5763,918,18525,225,7392,546,10199,206,3257,133242,77641,544,14049,179,6634,13,62
2020-09-06T00:00:00.000,371,6077,776,19293,156,7548,451,10639,141,3387,133238,77508,517,14564,119,6753,6,68
2020-09-13T00:00:00.000,414,6491,670,19963,144,7692,442,11081,113,3500,133148,76974,635,15199,201,6954,2,70
2020-09-20T00:00:00.000,338,6829,663,20626,95,7787,428,11509,115,3615,133160,76902,672,15871,162,7116,0,70
2020-09-27T00:00:00.000,337,7166,697,21323,89,7876,395,11902,106,3721,133086,77366,570,16440,122,7238,3,73
2020-10-04T00:00:00.000,243,7409,521,21840,67,7943,336,12236,59,3779,133180,77122,417,16843,106,7343,4,77
2020-10-11T00:00:00.000,254,7663,560,22400,124,8067,391,12627,90,3869,133158,77029,509,17352,114,7457,1,78
2020-10-18T00:00:00.000,273,7936,579,22979,215,8282,381,13008,99,3968,132964,76894,589,17941,115,7572,1,79
2020-10-25T00:00:00.000,325,8261,894,23873,100,8382,382,13390,84,4052,133296,77074,707,18648,122,7694,1,80
2020-11-01T00:00:00.000,438,8699,1154,25027,76,8458,418,13808,130,4182,133288,77075,842,19490,143,7837,1,81
2020-11-08T00:00:00.000,442,9141,1367,26394,110,8568,464,14272,162,4344,133207,76679,1094,20584,146,7983,2,83
2020-11-15T00:00:00.000,601,9742,1515,27909,142,8710,484,14756,201,4545,132896,76347,1230,21814,224,8207,2,85
2020-11-22T00:00:00.000,724,10419,1684,29593,270,8980,552,15306,231,4774,132799,76043,1299,23111,343,8550,4,89
2020-11-29T00:00:00.000,702,11121,1706,31299,NaN,8980,596,15902,266,5040,132722,78198,1208,24319,0,8550,9,98
2020-12-06T00:00:00.000,656,11777,1760,33059,NaN,8980,621,16523,283,5323,132310,74769,1302,25621,0,8550,2,100
2020-12-13T00:00:00.000,798,12575,2066,35125,NaN,8980,702,17225,319,5642,132562,75434,1455,27076,0,8550,9,109
2020-12-20T00:00:00.000,907,13482,2378,37503,NaN,8980,707,17932,341,5983,132735,74525,1715,28791,0,8550,2,111
2020-12-27T00:00:00.000,950,14432,2247,39750,NaN,8980,681,18613,332,6315,132422,73914,1606,30397,0,8550,4,115
2021-01-03T00:00:00.000,928,15360,2166,41916,NaN,8980,705,19318,372,6687,132499,73276,1706,32103,0,8550,5,120
2021-01-10T00:00:00.000,1008,16368,2178,44094,NaN,8980,734,20052,385,7072,132685,73318,1770,33873,0,8550,6,126
2021-01-17T00:00:00.000,1192,17560,1697,45752,NaN,8958,724,20771,380,7451,132851,73992,1360,35217,0,8540,3,129
2021-01-24T00:00:00.000,1115,18675,1594,47346,NaN,8958,746,21517,306,7757,132693,73757,1136,36353,0,8540,8,137
2021-01-31T00:00:00.000,982,19657,1138,48484,NaN,8958,576,22093,218,7975,132796,73597,768,37121,0,8540,4,141
2021-02-07T00:00:00.000,712,20369,500,48984,NaN,8958,535,22628,195,8170,133041,73352,396,37517,0,8540,6,147
2021-02-14T00:00:00.000,528,20897,308,49292,NaN,8958,433,23061,119,8289,132597,73242,284,37801,0,8540,5,152
2021-02-21T00:00:00.000,363,21260,129,49421,NaN,8958,463,23524,100,8389,132537,73191,143,37944,0,8540,4,156
2021-02-28T00:00:00.000,335,21595,138,49559,NaN,8958,435,23959,89,8478,132116,73488,136,38080,0,8540,2,158
2021-03-07T00:00:00.000,245,21840,91,49650,NaN,8958,415,24374,94,8572,132026,73706,112,38192,0,8540,2,160
2021-03-14T00:00:00.000,230,22070,106,49756,NaN,8958,310,24684,59,8631,131770,73785,93,38285,0,8540,1,161
2021-03-21T00:00:00.000,126,22196,42,49798,NaN,8958,265,24949,58,8689,130413,73075,62,38347,0,8540,0,161
