week_ending,sum_residents_weekly_admissions,sum_residents_total_admissions,sum_residents_weekly_confirmed,sum_residents_total_confirmed,sum_residents_weekly_suspected,sum_residents_total_suspected,sum_residents_weekly_all_deaths,sum_residents_total_all_deaths,sum_residents_weekly_covid_19,sum_residents_total_covid_19,sum_number_of_all_beds,sum_total_number_of_occupied,sum_staff_weekly_confirmed_covid,sum_staff_total_confirmed_covid,sum_staff_weekly_suspected_covid,sum_staff_total_suspected_covid,sum_staff_weekly_covid_19_deaths,sum_staff_total_covid_19_deaths
2020-05-24T00:00:00.000,3,3,103,103,31,31,63,63,21,21,3292,2323,59,59,25,25,0,0
2020-05-31T00:00:00.000,8,11,12,115,5,36,18,81,4,25,3478,2412,17,76,8,33,0,0
2020-06-07T00:00:00.000,9,20,19,134,4,40,6,87,2,27,3478,2444,5,81,1,34,0,0
2020-06-14T00:00:00.000,11,31,6,140,0,40,8,95,0,27,3478,2429,1,82,2,36,0,0
2020-06-21T00:00:00.000,3,34,4,144,9,49,14,109,1,28,3478,2427,8,90,8,44,0,0
2020-06-28T00:00:00.000,0,34,7,151,3,52,11,120,1,29,3478,2430,22,112,18,62,0,0
2020-07-05T00:00:00.000,0,34,35,186,8,60,14,134,1,30,3478,2400,30,142,17,79,0,0
2020-07-12T00:00:00.000,1,35,113,299,52,112,23,157,4,34,3478,2381,87,229,24,103,0,0
2020-07-19T00:00:00.000,9,44,39,338,21,133,31,188,14,48,3478,2344,37,266,27,130,0,0
2020-07-26T00:00:00.000,10,54,55,393,31,164,25,213,9,57,3478,2326,44,310,10,140,0,0
2020-08-02T00:00:00.000,7,61,41,434,12,176,23,236,12,69,3478,2318,22,332,9,149,0,0
2020-08-09T00:00:00.000,9,70,12,446,15,191,17,253,2,71,3478,2317,11,343,13,162,0,0
2020-08-16T00:00:00.000,22,92,28,474,5,196,9,262,4,75,3478,2347,16,359,5,167,0,0
2020-08-23T00:00:00.000,8,100,6,480,6,202,17,279,5,80,3478,2343,14,373,2,169,0,0
2020-08-30T00:00:00.000,9,109,6,486,3,205,13,292,1,81,3478,2351,7,380,3,172,0,0
2020-09-06T00:00:00.000,4,113,6,492,2,207,10,302,1,82,3478,2332,9,389,3,175,0,0
2020-09-13T00:00:00.000,5,118,1,493,2,209,13,315,2,84,3478,2316,8,397,1,176,0,0
2020-09-20T00:00:00.000,9,127,8,501,1,210,7,322,1,85,3478,2336,8,405,3,179,0,0
2020-09-27T00:00:00.000,5,132,50,551,2,212,16,338,4,89,3478,2352,15,420,4,183,0,0
2020-10-04T00:00:00.000,6,138,2,553,2,214,13,351,6,95,3478,2325,5,425,2,185,1,1
2020-10-11T00:00:00.000,4,142,0,553,1,215,11,362,1,96,3478,2324,1,426,3,188,0,1
2020-10-18T00:00:00.000,4,146,2,555,1,216,10,372,1,97,3478,2324,0,426,0,188,0,1
2020-10-25T00:00:00.000,3,149,1,556,0,216,11,383,0,97,3478,2323,5,431,1,189,0,1
2020-11-01T00:00:00.000,6,155,0,556,1,217,14,397,0,97,3478,2319,7,438,0,189,0,1
2020-11-08T00:00:00.000,5,160,7,563,1,218,12,409,0,97,3478,2311,4,442,6,195,0,1
2020-11-15T00:00:00.000,13,173,4,567,0,218,8,417,1,98,3360,2259,7,449,2,197,0,1
2020-11-22T00:00:00.000,10,183,19,586,3,221,12,429,0,98,3328,2260,17,466,0,197,0,1
2020-11-29T00:00:00.000,16,199,34,620,NaN,221,7,436,0,98,3328,2259,19,485,0,197,0,1
2020-12-06T00:00:00.000,16,215,31,651,NaN,221,13,449,3,101,3328,2267,21,506,0,197,0,1
2020-12-13T00:00:00.000,20,235,46,697,NaN,221,3,452,1,102,3328,2270,28,534,0,197,0,1
2020-12-20T00:00:00.000,20,255,47,744,NaN,221,19,471,10,112,3328,2252,19,553,0,197,0,1
2020-12-27T00:00:00.000,28,283,36,780,NaN,221,21,492,11,123,3478,2280,27,580,0,197,0,1
2021-01-03T00:00:00.000,17,300,73,853,NaN,221,11,503,2,125,3478,2270,49,629,0,197,0,1
2021-01-10T00:00:00.000,21,321,76,929,NaN,221,12,515,4,129,3478,2291,63,692,0,197,0,1
2021-01-17T00:00:00.000,27,348,147,1076,NaN,221,27,542,10,139,3478,2314,66,758,0,197,0,1
2021-01-24T00:00:00.000,43,391,96,1172,NaN,221,23,565,15,154,3478,2275,35,793,0,197,0,1
2021-01-31T00:00:00.000,59,450,40,1212,NaN,221,11,576,2,156,3478,2274,19,812,0,197,0,1
2021-02-07T00:00:00.000,44,494,30,1242,NaN,221,19,595,8,164,3478,2280,7,819,0,197,0,1
2021-02-14T00:00:00.000,29,523,10,1252,NaN,221,21,616,4,168,3360,2201,5,824,0,197,0,1
2021-02-21T00:00:00.000,3,526,2,1254,NaN,221,9,625,2,170,3360,2164,2,826,0,197,0,1
2021-02-28T00:00:00.000,6,532,2,1256,NaN,221,12,637,1,171,3360,2198,3,829,0,197,0,1
2021-03-07T00:00:00.000,10,542,1,1257,NaN,221,15,652,1,172,3360,2249,2,831,0,197,0,1
