Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,4/9/21,US,0,0,0,178837781,114436039,62854301,957024,1621188,659715,null,null,0,114436039,68202461,824401
Admin,4/9/21,LTC,0,0,0,7759386,4843853,2851494,720,1292,484,null,null,0,4843853,2855368,626
Report,4/9/21,US,null,null,null,null,null,null,null,null,null,3958065,3033045,null,null,null,null
Admin,4/8/21,US,434527,255070,178609,178837781,114436039,62854301,1230253,2086787,850306,null,null,242715,114436039,68202461,1046747
Admin,4/8/21,LTC,51,6,44,7759386,4843853,2851494,900,1990,677,null,null,44,4843853,2855368,858
Report,4/8/21,US,null,null,null,null,null,null,null,null,null,3403061,3035473,null,null,null,null
Admin,4/7/21,US,2519822,1490768,1023557,178403254,114180969,62675692,1523647,2594250,1062739,null,null,1333385,114180969,67959746,1286463
Admin,4/7/21,LTC,2093,1289,797,7759335,4843847,2851450,1211,2608,857,null,null,1161,4843847,2855324,1096
Report,4/7/21,US,null,null,null,null,null,null,null,null,null,2884580,3029052,null,null,null,null
Admin,4/6/21,US,3020355,1784563,1227219,175883432,112690201,61652135,1630167,2769545,1130811,null,null,1557945,112690201,66626361,1338406
Admin,4/6/21,LTC,2866,1640,1222,7757242,4842558,2850653,1337,2868,982,null,null,1611,4842558,2854163,1245
Report,4/6/21,US,null,null,null,null,null,null,null,null,null,1404280,2998533,null,null,null,null
Admin,4/5/21,US,2655844,1533188,1114568,172863077,110905638,60424916,1643174,2795079,1143233,null,null,1341646,110905638,65068416,1319673
Admin,4/5/21,LTC,2661,1771,869,7754376,4840918,2849431,1363,3021,1106,null,null,1107,4840918,2852552,1378
Report,4/5/21,US,null,null,null,null,null,null,null,null,null,2134049,3053566,null,null,null,null
Admin,4/4/21,US,674751,413926,258164,170207233,109372450,59310348,1640128,2783295,1134034,null,null,308293,109372450,63726770,1288925
Admin,4/4/21,LTC,195,86,93,7751715,4839147,2848562,1381,3231,1290,null,null,94,4839147,2851445,1542
Report,4/4/21,US,null,null,null,null,null,null,null,null,null,3365324,3084436,null,null,null,null
Admin,4/3/21,US,2043017,1221652,815891,169532482,108958524,59052184,1672598,2845810,1163663,null,null,986827,108958524,63418477,1315137
Admin,4/3/21,LTC,1184,248,366,7751520,4839061,2848469,1408,3349,1383,null,null,366,4839061,2851351,1635
Report,4/3/21,US,null,null,null,null,null,null,null,null,null,4081959,3072527,null,null,null,null
Admin,4/2/21,US,3259196,1912604,1334132,167489465,107736872,58236293,1681728,2876637,1185031,null,null,1556422,107736872,62431650,1323776
Admin,4/2/21,LTC,4880,1262,1349,7750336,4838813,2848103,1428,3408,1500,null,null,1625,4838813,2850985,1754
Report,4/2/21,US,null,null,null,null,null,null,null,null,null,3975059,2988825,null,null,null,null
Admin,4/1/21,US,3986767,2308829,1665644,164230269,105824268,56902161,1691796,2909064,1207465,null,null,1920729,105824268,60875228,1330909
Admin,4/1/21,LTC,4378,2183,1300,7745456,4837551,2846754,1691,3681,1818,null,null,1709,4837551,2849360,2062
Report,4/1/21,US,null,null,null,null,null,null,null,null,null,3358112,2903730,null,null,null,null
Admin,3/31/21,US,3746888,2236410,1500059,160243502,103515439,55236517,1668516,2842879,1164439,null,null,1696981,103515439,58954499,1267674
Admin,3/31/21,LTC,3914,2166,1678,7741078,4835368,2845454,1822,4141,2262,null,null,2209,4835368,2847651,2485
Report,3/31/21,US,null,null,null,null,null,null,null,null,null,2670947,2828491,null,null,null,null
Admin,3/30/21,US,3199091,1875612,1314171,156496614,101279029,53736458,1649399,2778343,1118669,null,null,1426814,101279029,57257518,1209238
Admin,3/30/21,LTC,3939,1824,2090,7737164,4833202,2843776,1929,4610,2626,null,null,2541,4833202,2845442,2827
Report,3/30/21,US,null,null,null,null,null,null,null,null,null,1789510,2769331,null,null,null,null
Admin,3/29/21,US,2573359,1511862,1050176,153297523,99403417,52422287,1653038,2727407,1064006,null,null,1126412,99403417,55830704,1153051
Admin,3/29/21,LTC,4128,1901,2151,7733225,4831378,2841686,2075,5060,2928,null,null,2253,4831378,2842901,3076
Report,3/29/21,US,null,null,null,null,null,null,null,null,null,2350144,2757586,null,null,null,null
Admin,3/28/21,US,1112357,641219,465567,150724164,97891555,51372111,1654177,2670386,1006387,null,null,491778,97891555,54704292,1095877
Admin,3/28/21,LTC,1022,269,746,7729097,4829477,2839535,2199,5609,3334,null,null,746,4829477,2840648,3469
Report,3/28/21,US,null,null,null,null,null,null,null,null,null,3281956,2711611,null,null,null,null
Admin,3/27/21,US,2258801,1285563,965468,149611807,97250336,50906544,1654305,2644950,981185,null,null,1047299,97250336,54212514,1073470
Admin,3/27/21,LTC,1595,394,1186,7728075,4829208,2838789,2303,5954,3568,null,null,1201,4829208,2839902,3703
Report,3/27/21,US,null,null,null,null,null,null,null,null,null,3496047,2677034,null,null,null,null
Admin,3/26/21,US,3486185,1983076,1491170,147353006,95964773,49941076,1656237,2600005,934533,null,null,1606353,95964773,53165215,1033354
Admin,3/26/21,LTC,6791,3097,3578,7726480,4828814,2837603,2475,6683,4114,null,null,3776,4828814,2838701,4248
Report,3/26/21,US,null,null,null,null,null,null,null,null,null,3379393,2624410,null,null,null,null
Admin,3/25/21,US,3523478,2145868,1364465,143866821,93981697,48449906,1668880,2535675,857749,null,null,1478084,93981697,51558862,960099
Admin,3/25/21,LTC,7602,3106,4405,7719689,4825717,2834025,2664,7692,4924,null,null,4673,4825717,2834925,5033
Report,3/25/21,US,null,null,null,null,null,null,null,null,null,2831442,2510755,null,null,null,null
Admin,3/24/21,US,3295130,2102595,1179668,140343343,91835829,47085441,1666148,2474457,799465,null,null,1287928,91835829,50080778,903838
Admin,3/24/21,LTC,7194,2910,4224,7712087,4822611,2829620,2916,8740,5712,null,null,4601,4822611,2830252,5785
Report,3/24/21,US,null,null,null,null,null,null,null,null,null,2256824,2490889,null,null,null,null
Admin,3/23/21,US,2842543,1901086,931530,137048213,89733234,45905773,1653891,2423991,761306,null,null,1033504,89733234,48792850,867340
Admin,3/23/21,LTC,7094,2851,4207,7704893,4819701,2825396,3211,9852,6521,null,null,4288,4819701,2825651,6541
Report,3/23/21,US,null,null,null,null,null,null,null,null,null,1707293,2497025,null,null,null,null
Admin,3/22/21,US,2174211,1519835,646841,134205670,87832148,44974243,1643057,2400152,748021,null,null,726197,87832148,47759346,857244
Admin,3/22/21,LTC,7970,2766,4993,7697799,4816850,2821189,3505,10896,7249,null,null,5004,4816850,2821363,7258
Report,3/22/21,US,null,null,null,null,null,null,null,null,null,2028324,2489697,null,null,null,null
Admin,3/21/21,US,934305,642109,289154,132031459,86312313,44327402,1625300,2386679,751872,null,null,334925,86312313,47033149,867252
Admin,3/21/21,LTC,3432,999,2380,7689829,4814084,2816196,3739,11905,7963,null,null,2381,4814084,2816359,7972
Report,3/21/21,US,null,null,null,null,null,null,null,null,null,3039915,2488734,null,null,null,null
Admin,3/20/21,US,1944189,1299090,638900,131097154,85670204,44038248,1617767,2375776,748323,null,null,766489,85670204,46698224,871859
Admin,3/20/21,LTC,6703,1599,5012,7686397,4813085,2813816,3849,12546,8485,null,null,5015,4813085,2813978,8494
Report,3/20/21,US,null,null,null,null,null,null,null,null,null,3127679,2439857,null,null,null,null
Admin,3/19/21,US,3035872,2071574,953683,129152965,84371114,43399348,1616052,2383373,756074,null,null,1093567,84371114,45931735,894066
Admin,3/19/21,LTC,13850,4417,9246,7679694,4811486,2808804,3999,13053,8840,null,null,9273,4811486,2808963,8848
Report,3/19/21,US,null,null,null,null,null,null,null,null,null,2583810,2455116,null,null,null,null
Admin,3/18/21,US,3094953,2126750,956476,126117093,82299540,42445665,1603669,2401576,783566,null,null,1084257,82299540,44838168,936340
Admin,3/18/21,LTC,14940,4868,9921,7665844,4807069,2799558,4441,14241,9570,null,null,9938,4807069,2799690,9577
Report,3/18/21,US,null,null,null,null,null,null,null,null,null,2692381,2503731,null,null,null,null
Admin,3/17/21,US,2941870,2016794,912557,123022140,80172790,41489189,1609951,2422232,796167,null,null,1032444,80172790,43753911,967206
Admin,3/17/21,LTC,14981,4978,9886,7650904,4802201,2789637,4740,15334,10349,null,null,9888,4802201,2789752,10354
Report,3/17/21,US,null,null,null,null,null,null,null,null,null,2299771,2473762,null,null,null,null
Admin,3/16/21,US,2675665,1825250,838537,120080270,78155996,40576632,1603090,2420897,801321,null,null,962829,78155996,42721467,988345
Admin,3/16/21,LTC,14398,4909,9306,7635923,4797223,2779751,5120,16574,11195,null,null,9309,4797223,2779864,11200
Report,3/16/21,US,null,null,null,null,null,null,null,null,null,1655996,2435037,null,null,null,null
Admin,3/15/21,US,2079902,1395532,673800,117404605,76330746,39738095,1584787,2395113,794084,null,null,796253,76330746,41758638,992022
Admin,3/15/21,LTC,15037,4401,9993,7621525,4792314,2770445,5756,18388,12371,null,null,10002,4792314,2770555,12375
Report,3/15/21,US,null,null,null,null,null,null,null,null,null,2021586,2427430,null,null,null,null
Admin,3/14/21,US,857982,589378,264309,115324703,74935214,39064295,1584812,2383621,782689,null,null,367177,74935214,40962385,989474
Admin,3/14/21,LTC,7918,1769,6034,7606488,4787913,2760452,6201,19680,13270,null,null,6037,4787913,2760553,13274
Report,3/14/21,US,null,null,null,null,null,null,null,null,null,2697779,2386932,null,null,null,null
Admin,3/13/21,US,1997369,1287083,693159,114466721,74345836,38799986,1590860,2382403,775570,null,null,921938,74345836,40595208,981805
Admin,3/13/21,LTC,10249,2654,7492,7598570,4786144,2754418,6423,20076,13428,null,null,7494,4786144,2754516,13431
Report,3/13/21,US,null,null,null,null,null,null,null,null,null,3234490,2350025,null,null,null,null
Admin,3/12/21,US,3163291,1984898,1146125,112469352,73058753,38106827,1588723,2369602,766119,null,null,1389486,73058753,39673270,964119
Admin,3/12/21,LTC,22169,7509,14361,7588321,4783490,2746926,6773,20981,13971,null,null,14373,4783490,2747022,13982
Report,3/12/21,US,null,null,null,null,null,null,null,null,null,2924112,2302844,null,null,null,null
Admin,3/11/21,US,3239546,2170723,1044684,109306061,71073855,36960702,1576686,2345503,756162,null,null,1300319,71073855,38283784,936704
Admin,3/11/21,LTC,22590,6962,15373,7566152,4775981,2732565,7518,23488,15706,null,null,15379,4775981,2732649,15717
Report,3/11/21,US,null,null,null,null,null,null,null,null,null,2482603,2233006,null,null,null,null
Admin,3/10/21,US,2932530,1968767,948630,106066515,68903132,35916018,1531005,2306765,762635,null,null,1180418,68903132,36983465,913339
Admin,3/10/21,LTC,23660,7635,15808,7543562,4769019,2717192,8181,26085,17618,null,null,15809,4769019,2717270,17628
Report,3/10/21,US,null,null,null,null,null,null,null,null,null,2028692,2168688,null,null,null,null
Admin,3/9/21,US,2495172,1697130,787881,103133985,66934365,34967388,1486128,2275496,775166,null,null,988564,66934365,35803047,894172
Admin,3/9/21,LTC,27095,9360,17536,7519902,4761384,2701384,8932,28605,19374,null,null,17537,4761384,2701461,19384
Report,3/9/21,US,null,null,null,null,null,null,null,null,null,1602746,2151571,null,null,null,null
Admin,3/8/21,US,1999463,1395708,594038,100638813,65237235,34179507,1440333,2243548,787780,null,null,778422,65237235,34814483,878206
Admin,3/8/21,LTC,24080,7520,16289,7492807,4752024,2683848,9689,30557,20544,null,null,16291,4752024,2683924,20555
Report,3/8/21,US,null,null,null,null,null,null,null,null,null,1738102,2169981,null,null,null,null
Admin,3/7/21,US,849455,631713,214472,98639350,63841527,33585469,1392145,2211959,802576,null,null,313490,63841527,34036061,866713
Admin,3/7/21,LTC,10695,3321,7138,7468727,4744504,2667559,10447,32510,21723,null,null,7140,4744504,2667633,21733
Report,3/7/21,US,null,null,null,null,null,null,null,null,null,2439427,2159392,null,null,null,null
Admin,3/6/21,US,1907758,1272120,627001,97789895,63209814,33370997,1374371,2202569,809979,null,null,798134,63209814,33722571,859974
Admin,3/6/21,LTC,16580,5107,11289,7458032,4741183,2660421,10867,34077,22859,null,null,11348,4741183,2660493,22869
Report,3/6/21,US,null,null,null,null,null,null,null,null,null,2904229,2158020,null,null,null,null
Admin,3/5/21,US,2994598,1900642,1076427,95882137,61937694,32743996,1349616,2198621,829338,null,null,1197581,61937694,32924437,854913
Admin,3/5/21,LTC,39716,12721,26508,7441452,4736076,2649132,12023,37774,25354,null,null,26515,4736076,2649145,25356
Report,3/5/21,US,null,null,null,null,null,null,null,null,null,2435246,2079147,null,null,null,null
Admin,3/4/21,US,2968383,1850953,1089999,92887539,60037052,31667569,1309140,2188971,858543,null,null,1136766,60037052,31726856,866818
Admin,3/4/21,LTC,40772,11604,28761,7401736,4723355,2622624,13415,42134,28240,null,null,28761,4723355,2622630,28240
Report,3/4/21,US,null,null,null,null,null,null,null,null,null,2032374,2042676,null,null,null,null
Admin,3/3/21,US,2713648,1654627,1036344,89919156,58186099,30577570,1255911,2158526,880466,null,null,1046252,58186099,30590090,882082
Admin,3/3/21,LTC,41299,12893,28097,7360964,4711751,2593863,17769,52085,33756,null,null,28099,4711751,2593869,33757
Report,3/3/21,US,null,null,null,null,null,null,null,null,null,1908873,2010790,null,null,null,null
Admin,3/2/21,US,2271535,1376566,876180,87205508,56531472,29541226,1191185,2109958,895920,null,null,876798,56531472,29543838,896134
Admin,3/2/21,LTC,40757,14660,25729,7319665,4698858,2565766,21369,61239,39243,null,null,25732,4698858,2565770,39243
Report,3/2/21,US,null,null,null,null,null,null,null,null,null,1731614,1942788,null,null,null,null
Admin,3/1/21,US,1778336,1058392,697609,84933973,55154906,28665046,1114873,2046522,907215,null,null,697976,55154906,28667040,907347
Admin,3/1/21,LTC,37756,12822,24541,7278908,4684198,2540037,23543,68752,44490,null,null,24541,4684198,2540038,44490
Report,3/1/21,US,null,null,null,null,null,null,null,null,null,1663984,1817502,null,null,null,null
Admin,2/28/21,US,783729,507295,266294,83155637,54096514,27967437,1049585,1988458,914246,null,null,266316,54096514,27969064,914333
Admin,2/28/21,LTC,21659,6264,15088,7241152,4671376,2515496,25883,76832,50160,null,null,15088,4671376,2515497,50160
Report,2/28/21,US,null,null,null,null,null,null,null,null,null,2429823,1735053,null,null,null,null
Admin,2/27/21,US,1880121,1098834,762515,82371908,53589219,27701143,1010915,1953867,918608,null,null,762708,53589219,27702748,918695
Admin,2/27/21,LTC,42465,13198,28757,7219493,4665112,2500408,26817,79781,52147,null,null,28757,4665112,2500409,52147
Report,2/27/21,US,null,null,null,null,null,null,null,null,null,2352116,1645240,null,null,null,null
Admin,2/26/21,US,2927048,1617310,1280857,80491787,52490385,26938628,937292,1862680,901659,null,null,1280912,52490385,26940040,901722
Admin,2/26/21,LTC,70233,22467,46707,7177028,4651914,2471651,27694,82359,53837,null,null,46707,4651914,2471652,53836
Report,2/26/21,US,null,null,null,null,null,null,null,null,null,2179947,1552717,null,null,null,null
Admin,2/25/21,US,2755268,1478350,1243462,77564739,50873075,25657771,821699,1710674,865850,null,null,1243618,50873075,25659128,865923
Admin,2/25/21,LTC,110431,42082,67376,7106795,4629447,2424944,29825,88318,57614,null,null,67376,4629447,2424945,57613
Report,2/25/21,US,null,null,null,null,null,null,null,null,null,1809170,1505193,null,null,null,null
Admin,2/24/21,US,2373669,1201545,1144524,74809471,49394725,24414309,725993,1567558,819752,null,null,1144616,49394725,24415510,819809
Admin,2/24/21,LTC,105377,38087,66501,6996364,4587365,2357568,29065,88490,58460,null,null,66501,4587365,2357569,58459
Report,2/24/21,US,null,null,null,null,null,null,null,null,null,1432864,1454731,null,null,null,null
Admin,2/23/21,US,1827484,842383,955243,72435802,48193180,23269785,684312,1496373,791271,null,null,955285,48193180,23270894,791318
Admin,2/23/21,LTC,93344,29884,62463,6890987,4549278,2291067,29436,90269,59790,null,null,62463,4549278,2291068,59789
Report,2/23/21,US,null,null,null,null,null,null,null,null,null,854609,1401674,null,null,null,null
Admin,2/22/21,US,1371888,601375,746827,70608318,47350797,22314542,674619,1455533,761544,null,null,746879,47350797,22315609,761589
Admin,2/22/21,LTC,94317,29202,64228,6797643,4519394,2228604,31221,93121,60863,null,null,64228,4519394,2228605,60863
Report,2/22/21,US,null,null,null,null,null,null,null,null,null,1086840,1416701,null,null,null,null
Admin,2/21/21,US,541593,236605,296828,69236430,46749422,21567715,673319,1417173,725572,null,null,296848,46749422,21568730,725612
Admin,2/21/21,LTC,42300,12802,28998,6703326,4490192,2164376,32537,94745,61192,null,null,28998,4490192,2164377,61191
Report,2/21/21,US,null,null,null,null,null,null,null,null,null,1801134,1458040,null,null,null,null
Admin,2/20/21,US,1241810,583478,643875,68694837,46512817,21270887,686498,1418476,714223,null,null,643896,46512817,21271882,714262
Admin,2/20/21,LTC,60515,19337,40583,6661026,4477390,2135378,34286,96390,61044,null,null,40583,4477390,2135379,61044
Report,2/20/21,US,null,null,null,null,null,null,null,null,null,1704457,1521088,null,null,null,null
Admin,2/19/21,US,1863007,808157,1030190,67453027,45929339,20627012,722430,1441092,700783,null,null,1030319,45929339,20627986,700823
Admin,2/19/21,LTC,111944,37382,73147,6600511,4458053,2094795,37612,99939,61284,null,null,73147,4458053,2094796,61284
Report,2/19/21,US,null,null,null,null,null,null,null,null,null,1847276,1596355,null,null,null,null
Admin,2/18/21,US,1753456,808411,920775,65590020,45121182,19596822,797822,1525778,709926,null,null,920820,45121182,19597667,709952
Admin,2/18/21,LTC,111638,36764,73298,6488567,4420671,2021648,44315,108449,63137,null,null,73298,4420671,2021649,63136
Report,2/18/21,US,null,null,null,null,null,null,null,null,null,1455940,1621071,null,null,null,null
Admin,2/17/21,US,1875373,909775,945158,63836564,44312771,18676047,858499,1600015,724472,null,null,945185,44312771,18676847,724495
Admin,2/17/21,LTC,117831,40681,75811,6376929,4383907,1948350,47992,115340,66388,null,null,75811,4383907,1948351,66388
Report,2/17/21,US,null,null,null,null,null,null,null,null,null,1061463,1644551,null,null,null,null
Admin,2/16/21,US,1541609,774533,747158,61961191,43402996,17730889,898544,1642761,727843,null,null,747181,43402996,17731662,727866
Admin,2/16/21,LTC,113305,42377,69978,6259098,4343226,1872539,50909,121706,69757,null,null,69978,4343226,1872540,69757
Report,2/16/21,US,null,null,null,null,null,null,null,null,null,959794,1716311,null,null,null,null
Admin,2/15/21,US,1103363,592276,495017,60419582,42628463,16983731,931826,1688047,740684,null,null,495040,42628463,16984481,740707
Admin,2/15/21,LTC,105686,38417,66527,6145793,4300849,1802561,55544,129708,73055,null,null,66527,4300849,1802562,73055
Report,2/15/21,US,null,null,null,null,null,null,null,null,null,1376214,1691850,null,null,null,null
Admin,2/14/21,US,550718,328857,217390,59316219,42036187,16488714,962939,1741612,763550,null,null,217394,42036187,16489441,763573
Admin,2/14/21,LTC,53812,25042,27967,6040107,4262432,1736034,60530,137710,75978,null,null,27967,4262432,1736035,75978
Report,2/14/21,US,null,null,null,null,null,null,null,null,null,2242472,1667631,null,null,null,null
Admin,2/13/21,US,1400124,835002,549796,58765501,41707330,16271324,955032,1723785,753396,null,null,549822,41707330,16272047,753419
Admin,2/13/21,LTC,85362,42622,42263,5986295,4237390,1708067,61263,139377,76947,null,null,42263,4237390,1708068,76946
Report,2/13/21,US,null,null,null,null,null,null,null,null,null,2231326,1657703,null,null,null,null
